,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"depots-ipc3","pfile07.pddl",21,21,18,4031,16147,41349," 12.02s"," 12.05s",21,15,"29.72s","29.65s",39348,403535,21,11,211820,484676,2076833," 3.26s"," 37.54s"," "," "," "," "," "," ",,21,1,6501100,9132062,61715572," 71.57s"," 71.58s",21,4,1331701,2372978,12965460," 166.74s"," 166.76s",21,13,41328,324.19,324.19,21,90.35
"depots-ipc3","pfile08.pddl",," "," "," "," "," "," ",,,27,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile09.pddl",," "," "," "," "," "," ",,,36,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile10.pddl",24,24,21,8927,46545,139814," 72.96s"," 73.02s",24,19,"193.32s","193.1s",199412,3111723,24,11,3241083,6963384,49512230," 66.69s"," 157.52s"," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile11.pddl",," "," "," "," "," "," ",,,31,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile12.pddl",," "," "," "," "," "," ",,,39,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile13.pddl",25,25,24,683,5924,10997," 12.17s"," 12.24s",25,23,"41.66s","41.33s",27977,469746,25,14,1427824,3895613,23045370," 33.77s"," 116.06s"," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,25,18,205271,2408.23,2408.23," ",
"depots-ipc3","pfile14.pddl",," "," "," "," "," "," ",,,20,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile15.pddl",," "," "," "," "," "," ",,,37,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"depots-ipc3","pfile16.pddl",," "," "," "," "," "," ",,,20,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile17.pddl",," "," "," "," "," "," ",,,17,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile18.pddl",," "," "," "," "," "," ",,,40,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile19.pddl",," "," "," "," "," "," ",,,27,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile20.pddl",," "," "," "," "," "," ",,,44,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile21.pddl",," "," "," "," "," "," ",,,17,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"depots-ipc3","pfile22.pddl",," "," "," "," "," "," ",,,44,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"driverlog-ipc3","pfile01.pddl",7,7,6,9,48,57," 0s"," 0s",7,5,"0s","0s",10,64,7,7,8,43,49," 0s"," 0.04s",7,7,8,43,49," 0s"," 0.03s",7,1,182,292,1178," 0s"," 0s",7,6,20,101,141," 0s"," 0s",7,3,44,0.47,0.47,7,0.28
"driverlog-ipc3","pfile02.pddl",19,19,13,5388,13597,42994," 1.94s"," 1.94s",19,12,"2.25s","2.25s",20205,156487,19,19,20,117,142," 0s"," 0.13s",19,19,20,117,142," 0s"," 0.26s",19,1,68927,69552,504367," 0.36s"," 0.36s",19,4,54283,63713,406589," 0.52s"," 0.52s",19,9,15998,4.55,4.55,19,0.44
"driverlog-ipc3","pfile03.pddl",12,12,11,24,129,176," 0.01s"," 0.01s",12,9,"0.01s","0.01s",153,1107,12,12,13,81,97," 0s"," 0.16s",12,12,13,81,97," 0s"," 0.25s",12,1,16031,25366,120617," 0.09s"," 0.09s",12,4,2498,6190,18782," 0.03s"," 0.03s",12,4,863,1.25,1.25,12,0.39
"driverlog-ipc3","pfile04.pddl",16,16,12,1479,7755,15735," 1.27s"," 1.27s",16,10,"2.27s","2.26s",13372,142601,16,16,17,141,163," 0s"," 0.49s",16,16,17,141,163," 0s"," 2.41s",16,1,999991,1248604,10051310," 8.12s"," 8.12s",16,4,393673,673820,4108621," 6.56s"," 6.56s",16,8,22933,12.2,12.2,16,0.72
"driverlog-ipc3","pfile05.pddl",18,18,15,452,2650,4766," 0.61s"," 0.61s",18,14,"1.64s","1.63s",7357,83483,18,16,2614,18347,30252," 0.03s"," 0.6s",18,18,19,178,204," 0s"," 4.58s",18,1,6290803,8118461,72203515," 61.57s"," 61.57s",18,4,1724611,3235420,20008573," 34.73s"," 34.73s",18,12,24877,18.77,18.77,18,1.11
"driverlog-ipc3","pfile06.pddl",11,11,10,119,1135,1655," 0.19s"," 0.19s",11,8,"0.15s","0.14s",655,8906,11,11,291,2436,3922," 0s"," 1.35s",11,11,12,145,159," 0s"," 9.72s",11,1,681757,1523897,8912606," 7.64s"," 7.64s",11,3,54451,170868,735658," 1.71s"," 1.71s",11,5,3804,10.08,10.08,11,0.74
"driverlog-ipc3","pfile07.pddl",13,13,12,36,391,501," 0.1s"," 0.1s",13,11,"0.27s","0.26s",936,12343,13,13,14,169,187," 0s"," 1.42s",13,13,14,169,187," 0s"," 15.35s",13,1,6349767,13218555,87978446," 81.53s"," 81.53s",13,4,493480,1511694,6829799," 17.31s"," 17.31s",13,6,25801,41.33,41.34,13,1.42
"driverlog-ipc3","pfile08.pddl",22,22,15,102174,679011,1507707," 223.96s"," 223.96s",22,14,"308.8s","308.79s",795966,11738451,22,17,287823,1798393,4226532," 5.47s"," 7.34s",22,21,2952,27478,44786," 0.07s"," 20.31s"," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,22,59.09
"driverlog-ipc3","pfile09.pddl",22,22,17,6522,29312,67024," 12.93s"," 12.93s",22,15,"24.38s","24.36s",83415,884949,22,18,15504,60758,150304," 0.16s"," 1.7s",22,22,23,166,200," 0s"," 10.43s"," "," "," "," "," "," ",," "," "," "," "," "," ",,22,9,1285085,1889.62,1889.62,22,60.87
"driverlog-ipc3","pfile10.pddl",17,17,16,69,623,827," 0.28s"," 0.29s",17,13,"1.27s","1.25s",4186,49873,17,17,18,187,224," 0s"," 1.64s",17,17,18,187,224," 0s"," 18.54s"," "," "," "," "," "," ",," "," "," "," "," "," ",,17,12,18234,68.22,68.22,17,61.13
"driverlog-ipc3","pfile11.pddl",19,19,17,115,723,1187," 0.47s"," 0.48s",19,16,"0.8s","0.77s",2398,27183,19,15,34137,146314,353420," 0.37s"," 1.99s",19,17,10790,53074,116626," 0.13s"," 17.01s"," "," "," "," "," "," ",,19,5,6141130,17081433,70790695," 330.22s"," 330.22s",19,8,559623,1193,1193,19,142.06
"driverlog-ipc3","pfile12.pddl",," "," "," "," "," "," ",,,20,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile13.pddl",26,26,20,22542,127649,284094," 154.06s"," 154.08s",26,19,"105.9s","105.8s",188136,2401419,26,17,1298884,6268834,14566393," 16.79s"," 19.52s",26,18,870875,4227568,9864419," 12.02s"," 35.33s"," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile14.pddl",28,28,23,18031,119852,245659," 190.13s"," 190.15s",28,22,"250.83s","250.72s",308166,4423337," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile15.pddl",32,32,28,22167,247529,397041," 966.16s"," 966.22s",32,27,"234.77s","234.35s",118202,2065517," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile16.pddl",," "," "," "," "," "," ",,,21,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile17.pddl",," "," "," "," "," "," ",,,24,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile18.pddl",," "," "," "," "," "," ",,,23,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"driverlog-ipc3","pfile19.pddl",," "," "," "," "," "," ",,,31,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"driverlog-ipc3","pfile20.pddl",," "," "," "," "," "," ",,,30,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-ipc3","pfile01.pddl",8,8,4,68,389,546," 0.09s"," 0.11s",8,,"0.07s","0s",12,70,8,8,87,430,649," 0s"," 3.12s",8,8,9,46,45," 0.04s"," 38.74s",8,1,3437,4182,26679," 0.03s"," 0.03s",8,3,1043,2471,8519," 0.14s"," 0.15s",8,8,9,13.01,13.01,8,2.79
"freecell-ipc3","pfile02.pddl",14,14,12,11127,30871,99855," 18.22s"," 18.28s",14,,"0.57s","0.25s",363,3374,14,8,31487,54802,260303," 0.47s"," 40.4s"," "," "," "," "," "," ",,14,1,130883,148182,1126167," 1.45s"," 1.46s",14,5,41864,76814,365126," 10.73s"," 10.77s",14,11,466,70.29,70.29,14,124.31
"freecell-ipc3","pfile03.pddl",18,18,16,17605,55715,148258," 55.19s"," 55.27s",18,,"1.05s","0.42s",454,3405,18,11,95805,183779,672747," 1.75s"," 140.96s"," "," "," "," "," "," ",,18,1,944843,1090712,7170726," 11.43s"," 11.45s",18,6,210503,385770,1655140," 75.57s"," 75.62s",18,12,1589,169.39,169.39," ",
"freecell-ipc3","pfile04.pddl",26,26,21,36631,86967,270173," 156.14s"," 156.24s",26,,"12.42s","11.47s",11631,74711,26,10,943074,1282610,5994881," 15.76s"," 86.78s"," "," "," "," "," "," ",,26,1,3021326,3609036,20025331," 38.77s"," 38.8s",26,8,600525,929660,3994633," 247.63s"," 247.7s",26,17,15848,341.02,341.02," ",
"freecell-ipc3","pfile05.pddl",30,30,20,58002,153767,401036," 542.07s"," 542.24s",30,,"37.24s","34.88s",29975,196645,30,8,5950977,7937282,39862554," 114.15s"," 243.74s"," "," "," "," "," "," ",," "," "," "," "," "," ",,30,10,1408035,2410821,9563659," 1062.14s"," 1062.25s",30,22,40642,916.43,916.44," ",
"freecell-ipc3","pfile06.pddl",34," "," "," "," "," "," ",,34,,"172.74s","168s",75066,541640," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile07.pddl",41," "," "," "," "," "," ",,41,,"799.11s","794.32s",496502,2719525," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile08.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile09.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile10.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile11.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile12.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile13.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile14.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"freecell-ipc3","pfile15.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"freecell-ipc3","pfile16.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"freecell-ipc3","pfile17.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"freecell-ipc3","pfile18.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"freecell-ipc3","pfile19.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
"freecell-ipc3","pfile20.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,,,,,,,,," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-02-1.pddl",9,9,7,183,779,1777," 1.15s"," 1.32s",9,8," 2.13s"," 0.01s",15,87,9,7,763,2647,9195," 0.03s"," 16.66s",,,,,,,,9,1,5766,5794,64086," 0.07s"," 0.12s",9,4,4565,5557,54250," 1.52s"," 1.64s",9,7,72,139.67,139.67,9,42.62
"freecell-2000","probfreecell-02-2.pddl",8,8,8,98,716,1245," 1.08s"," 1.25s",8,8," 2.1s"," 0.01s",9,64,8,8,668,2807,8149," 0.02s"," 13.25s",,,,,,,,8,1,5510,5605,62012," 0.07s"," 0.12s",8,3,3553,5000,44275," 1.37s"," 1.49s",8,7,21,121.75,121.75,8,41.53
"freecell-2000","probfreecell-02-3.pddl",8,8,8,159,1020,2021," 1.59s"," 1.76s",8,8," 2.14s"," 0.01s",9,49,8,7,46,347,422," 0.07s"," 23.09s",,,,,,,,8,1,5684,5913,64050," 0.07s"," 0.12s",8,3,2678,4690,33786," 1.29s"," 1.41s",8,7,18,136.09,136.09,8,43.09
"freecell-2000","probfreecell-02-4.pddl",8,8,8,231,1190,2518," 1.83s"," 2s",8,7," 2.15s"," 0.02s",16,142,8,8,740,3306,9275," 0.02s"," 5.85s",,,,,,,,8,1,6843,7039,77613," 0.08s"," 0.13s",8,2,4020,6069,50240," 1.73s"," 1.84s",8,7,20,133.46,133.46,8,42.94
"freecell-2000","probfreecell-02-5.pddl",9,9,8,495,2150,5673," 3.19s"," 3.36s",9,8," 2.12s"," 0.01s",24,170,9,7,1192,3438,14308," 0.03s"," 9.49s",,,,,,,,9,1,6415,6450,71432," 0.08s"," 0.13s",9,3,5120,6200,60774," 1.69s"," 1.81s",9,7,108,129.54,129.54,9,42.53
"freecell-2000","probfreecell-03-1.pddl",14,14,6,102940,285467,1609609," 871.43s"," 871.7s",14,," 6.21s"," 1.02s",534,7089,14,8,294206,479047,4983320," 7.26s"," 38.18s",,,,,,,,14,1,623792,624033,10009826," 12.14s"," 12.22s",14,6,524762,605138,8723720," 301.18s"," 301.37s",14,12,364,544.73,544.73," ",
"freecell-2000","probfreecell-03-2.pddl",13,13,5,64990,166576,1067687," 458.05s"," 458.32s",13,," 5.95s"," 0.84s",376,5642,13,8,119152,285847,2038898," 4.1s"," 145.54s",,,,,,,,13,1,549795,550220,8856791," 10.95s"," 11.03s",13,5,388905,508410,6623897," 253.8s"," 253.99s",13,12,34,452.66,452.66,13,294.5
"freecell-2000","probfreecell-03-3.pddl",12,12,12,60101,208505,1045180," 609.47s"," 609.74s",12,," 5.25s"," 0.12s",48,658,12,7,84565,212390,1452736," 2.29s"," 28.7s",,,,,,,,12,1,564325,568898,9100902," 10.95s"," 11.03s",12,4,233526,412998,4123529," 207.81s"," 208s",12,11,14,431.66,431.66,12,298.78
"freecell-2000","probfreecell-03-4.pddl",12,12,8,17765,57955,276317," 133.57s"," 133.84s",12,," 5.5s"," 0.31s",101,1604,12,8,90032,258147,1599921," 2.74s"," 60.28s",,,,,,,,12,1,676411,677999,11009723," 13.67s"," 13.75s",12,3,405418,580961,7074870," 288.08s"," 288.27s",12,11,64,458.09,458.1,12,303.46
"freecell-2000","probfreecell-03-5.pddl",13,13,5,100545,287422,1675587," 883.55s"," 883.82s",13,," 5.77s"," 0.67s",217,3593,13,8,138279,318530,2371389," 3.63s"," 20.06s",,,,,,,,13,1,611106,611879,9898781," 12.11s"," 12.19s",13,5,409652,552399,7069836," 280.24s"," 280.43s",13,11,46,438.74,438.74,13,324.62
"freecell-2000","probfreecell-04-1.pddl",19," "," "," "," "," "," ",,19,," 101.69s"," 92.05s",21669,404585," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,19,16,7236,1057.98,1057.98,,
"freecell-2000","probfreecell-04-2.pddl",17," "," "," "," "," "," ",,17,," 14.76s"," 5.22s",1278,22402," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,17,16,144,1013.62,1013.62,,
"freecell-2000","probfreecell-04-3.pddl",18," "," "," "," "," "," ",,18,," 10.72s"," 1.2s",266,4360," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,18,13,47881,1200.97,1200.97,,
"freecell-2000","probfreecell-04-4.pddl",18," "," "," "," "," "," ",,18,," 47.71s"," 38.13s",11013,200219," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,18,16,524,1074.3,1074.3,,
"freecell-2000","probfreecell-04-5.pddl",18," "," "," "," "," "," ",,18,," 104.94s"," 95.46s",29655,541996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,3873,1051.33,1051.33,,
"freecell-2000","probfreecell-05-1.pddl",24," "," "," "," "," "," ",,24,," 1310.55s"," 1294.99s",293829,5324428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-05-2.pddl",23," "," "," "," "," "," ",,23,," 233.68s"," 218.08s",53098,891777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-05-3.pddl",24," "," "," "," "," "," ",,24,," 328.12s"," 312.61s",93443,1587698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-05-4.pddl",23," "," "," "," "," "," ",,23,," 81.31s"," 65.73s",16114,284157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-05-5.pddl",," "," "," "," "," "," ",,,," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-06-1.pddl",," "," "," "," "," "," ",,,," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-06-2.pddl",," "," "," "," "," "," ",,,," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000"," probfreecell-06-3.pddl",28,,,,,,,,28,," 739.52s"," 716.57s",175562,2845505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000"," probfreecell-06-4.pddl",28,,,,,,,,28,," 1495.15s"," 1472.45s",307364,4977684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000"," probfreecell-06-5.pddl",,,,,,,,,,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000"," probfreecell-07-1.pddl",,,,,,,,,,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000"," probfreecell-07-2.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-07-3.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-07-4.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"freecell-2000","probfreecell-07-5.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grid-AIPS98","prob01.pddl",14,14,10,43,125,185," 0.14s"," 0.3s",14,9,"0.46s","0.03s",98,413,14,11,660,1559,2599," 0.01s"," 8.63s",14,11,467,1089,1815," 0s"," 121.1s",14,1,6446,12510,24120," 0.03s"," 0.08s",14,9,190,558,845," 0.04s"," 0.1s"," "," "," "," ",,14,20.18
"Grid-AIPS98","prob02.pddl",26,26,18,6995,18391,29589," 66.89s"," 67.25s",26,14,"23.64s","22.45s",30529,120762,26,13,3392724,7421188,13198447," 33.23s"," 50.35s",26,14,3244132,7093787,12592796," 33.22s"," 241.94s"," "," "," "," "," "," ",,26,12,664016,1577470,2784444," 231.12s"," 231.26s"," "," "," "," ",,26,80.11
"Grid-AIPS98","prob03.pddl",," "," "," "," "," "," ",,,20,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," ",," ",
"Grid-AIPS98","prob04.pddl",," "," "," "," "," "," ",,,18,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," ",," ",
"Grid-AIPS98","prob05.pddl",," "," "," "," "," "," ",,,36,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," ",," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gripper-AIPS98","prob01.pddl",11,11,9,99,149,338," 0s"," 0s",11,9," 0.01s","0.01s",82,271,11,11,12,35,47," 0s"," 0s",11,11,12,35,47," 0s"," 0s",11,1,236,248,823," 0s"," 0s",11,2,208,240,699," 0s"," 0s",11,9,33,0.11,0.11,11,0.25
"Gripper-AIPS98","prob02.pddl",17,17,13,1330,1535,5235," 0.13s"," 0.13s",17,13,"0.08s","0.08s",1249,4912,17,17,18,69,89," 0s"," 0.11s",17,17,18,69,89," 0s"," 0.08s",17,1,1826,1844,7099," 0.01s"," 0.01s",17,2,1760,1832,6673," 0.01s"," 0.01s",17,13,680,0.37,0.37,17,0.28
"Gripper-AIPS98","prob03.pddl",23,23,17,10529,11073,43764," 1.35s"," 1.35s",23,17,"0.89s","0.88s",10304,42865,23,12,11514,11697,47485," 0.05s"," 0.47s",23,21,2094,3839,9323," 0.01s"," 1.75s",23,1,11736,11760,48431," 0.04s"," 0.04s",23,2,11616,11744,47415," 0.08s"," 0.08s",23,17,7370,1.52,1.52,23,0.32
"Gripper-AIPS98","prob04.pddl",29,29,21,66168,67307,284189," 11.03s"," 11.03s",29,21,"7.61s","7.6s",65687,282266,29,13,68380,68489,293053," 0.32s"," 1.24s",29,14,68190,68479,291693," 0.35s"," 8.05s",29,1,68558,68588,293587," 0.27s"," 0.27s",29,2,68368,68568,291597," 0.56s"," 0.56s",29,21,55568,10.29,10.29,29,0.39
"Gripper-AIPS98","prob05.pddl",35,35,25,372607,374669,1637814," 80.95s"," 80.95s",35,25,"55.24s","55.24s",371726,1634291,35,15,376510,376665,1653589," 1.89s"," 3.52s",35,15,376510,376665,1653589," 2.14s"," 19.46s",35,1,376772,376808,1654375," 1.59s"," 1.59s",35,2,376496,376784,1650931," 3.51s"," 3.51s",35,25,344386,79.96,79.96,35,0.5
"Gripper-AIPS98","prob06.pddl",41,41,29,1975742,1979127,8836551," 545.42s"," 545.42s",41,29,"365.78s","365.77s",1974285,8830724,41,16,1982032,1982241,8862125," 10.94s"," 13.42s",41,17,1982032,1982241,8862125," 12.08s"," 42.16s",41,1,1982394,1982436,8863211," 9.59s"," 9.59s",41,2,1982016,1982408,8857737," 21.57s"," 21.57s",41,29,1911592,577.49,577.49,41,0.68
"Gripper-AIPS98","prob07.pddl",47," "," "," "," "," "," ",,,33,,,,,47,18,10091986,10092257,45742021," 58.01s"," 61.66s",47,19,10091986,10092257,45742021," 62.61s"," 106.84s",47,1,10092464,10092512,45743455," 51.1s"," 51.1s",47,2,10091968,10092480,45735279," 119.64s"," 119.64s"," ",,,,,47,0.96
"Gripper-AIPS98","prob08.pddl",53," "," "," "," "," "," ",,,37,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,53,1.34
"Gripper-AIPS98","prob09.pddl",59," "," "," "," "," "," ",,,41,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,59,1.79
"Gripper-AIPS98","prob10.pddl",65," "," "," "," "," "," ",,,45,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,65,2.5
"Gripper-AIPS98","prob11.pddl",71," "," "," "," "," "," ",,,49,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,71,3.66
"Gripper-AIPS98","prob12.pddl",77," "," "," "," "," "," ",,,53,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,77,4.98
"Gripper-AIPS98","prob13.pddl",83," "," "," "," "," "," ",,,57,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,83,7.04
"Gripper-AIPS98","prob14.pddl",89," "," "," "," "," "," ",,,61,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,89,9.3
"Gripper-AIPS98","prob15.pddl",95," "," "," "," "," "," ",,,65,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,95,13.86
"Gripper-AIPS98","prob16.pddl",101," "," "," "," "," "," ",,,69,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,,101,18.19
